user_id,meal_id,rating
0,0,3.0
0,9,5.0
0,13,4.0
0,29,3.0
0,32,3.0
0,60,3.0
0,66,3.0
0,69,3.0
0,75,2.0
0,101,4.0
0,106,5.0
0,119,4.0
0,131,4.0
0,137,2.0
0,173,3.0
0,181,4.0
0,205,2.0
0,223,3.0
0,226,4.0
0,280,3.0
0,310,2.0
0,339,4.0
0,385,2.0
0,389,4.0
0,420,5.0
0,439,4.0
1,4,5.0
1,8,4.0
1,14,4.0
1,20,4.0
1,28,5.0
1,33,5.0
1,42,4.0
1,44,5.0
1,45,5.0
1,47,4.0
1,50,5.0
1,51,4.0
1,52,5.0
1,54,4.0
1,57,3.0
1,61,5.0
1,65,3.0
1,71,3.0
1,74,2.0
1,77,5.0
1,80,5.0
1,82,3.0
1,93,3.0
1,99,2.0
1,100,4.0
1,105,5.0
1,114,4.0
1,120,3.0
1,132,2.0
1,134,4.0
1,147,3.0
1,150,3.0
1,153,5.0
1,154,5.0
1,161,4.0
1,164,4.0
1,169,4.0
1,171,5.0
1,176,4.0
1,182,4.0
1,191,5.0
1,207,3.0
1,221,4.0
1,234,4.0
1,240,4.0
1,243,3.0
1,252,3.0
1,278,4.0
1,281,5.0
1,286,4.0
1,287,3.0
1,294,3.0
1,298,4.0
1,304,4.0
1,313,4.0
1,321,4.0
1,329,5.0
1,340,3.0
1,352,3.0
1,365,4.0
1,368,4.0
1,394,4.0
1,396,5.0
1,397,4.0
1,404,5.0
1,428,4.0
1,445,4.0
1,458,4.0
2,2,5.0
2,6,3.0
2,21,5.0
2,23,2.0
2,35,3.0
2,67,3.0
2,73,3.0
2,84,4.0
2,85,3.0
2,87,4.0
2,97,3.0
2,121,4.0
2,122,4.0
2,128,5.0
2,146,3.0
2,149,3.0
2,151,4.0
2,174,2.0
2,183,2.0
2,185,2.0
2,192,4.0
2,194,3.0
2,202,2.0
2,204,2.0
2,210,4.0
2,215,5.0
2,219,3.0
2,236,3.0
2,242,4.0
2,250,3.0
2,253,3.0
2,259,2.0
2,262,2.0
2,264,4.0
2,267,3.0
2,269,3.0
2,284,3.0
2,299,4.0
2,341,4.0
2,342,3.0
2,346,4.0
2,350,3.0
2,353,2.0
2,363,4.0
2,367,3.0
2,369,4.0
2,382,3.0
2,384,3.0
2,391,3.0
2,400,4.0
2,422,4.0
2,425,3.0
2,436,5.0
2,441,3.0
2,446,3.0
2,448,2.0
2,453,4.0
3,1,4.0
3,9,3.0
3,13,4.0
3,15,2.0
3,22,4.0
3,29,4.0
3,40,4.0
3,66,3.0
3,89,3.0
3,98,3.0
3,113,3.0
3,119,3.0
3,140,4.0
3,155,3.0
3,157,3.0
3,163,3.0
3,190,4.0
3,193,5.0
3,200,5.0
3,211,4.0
3,220,5.0
3,226,4.0
3,231,4.0
3,239,3.0
3,251,4.0
3,276,4.0
3,285,3.0
3,310,4.0
3,323,5.0
3,326,4.0
3,339,5.0
3,376,3.0
3,380,5.0
3,385,5.0
3,389,3.0
3,431,4.0
4,4,4.0
4,8,4.0
4,10,4.0
4,14,3.0
4,18,5.0
4,27,3.0
4,33,3.0
4,34,3.0
4,36,3.0
4,42,3.0
4,45,4.0
4,50,3.0
4,51,5.0
4,52,4.0
4,65,2.0
4,68,2.0
4,70,3.0
4,72,2.0
4,74,4.0
4,76,4.0
4,77,2.0
4,79,3.0
4,80,4.0
4,88,4.0
4,93,3.0
4,100,4.0
4,105,4.0
4,109,4.0
4,147,3.0
4,154,3.0
4,161,3.0
4,164,3.0
4,167,3.0
4,169,5.0
4,171,1.0
4,176,3.0
4,178,5.0
4,179,3.0
4,191,5.0
4,207,3.0
4,214,3.0
4,216,3.0
4,217,4.0
4,221,4.0
4,229,4.0
4,240,3.0
4,243,4.0
4,247,2.0
4,254,4.0
4,271,3.0
4,272,3.0
4,275,5.0
4,278,3.0
4,287,3.0
4,290,3.0
4,292,3.0
4,297,5.0
4,304,4.0
4,308,3.0
4,328,3.0
4,343,3.0
4,347,4.0
4,352,3.0
4,368,3.0
4,372,4.0
4,375,4.0
4,377,2.0
4,378,3.0
4,390,3.0
4,394,4.0
4,396,4.0
4,397,2.0
4,404,4.0
4,413,3.0
4,433,2.0
4,434,3.0
4,440,3.0
4,445,4.0
4,447,3.0
4,452,5.0
4,454,3.0
5,2,4.0
5,6,4.0
5,26,3.0
5,35,4.0
5,62,4.0
5,67,4.0
5,84,3.0
5,85,4.0
5,90,4.0
5,97,5.0
5,102,5.0
5,108,4.0
5,111,4.0
5,116,5.0
5,117,4.0
5,121,4.0
5,126,5.0
5,133,5.0
5,141,5.0
5,145,4.0
5,148,4.0
5,149,4.0
5,152,5.0
5,174,5.0
5,185,5.0
5,210,5.0
5,215,5.0
5,222,4.0
5,236,3.0
5,237,4.0
5,246,3.0
5,249,5.0
5,250,4.0
5,253,3.0
5,259,5.0
5,263,5.0
5,264,4.0
5,267,4.0
5,270,5.0
5,324,4.0
5,325,4.0
5,346,4.0
5,382,4.0
5,384,4.0
5,399,5.0
5,401,4.0
5,442,4.0
5,446,5.0
5,448,4.0
5,449,3.0
5,457,5.0
6,3,4.0
6,9,3.0
6,15,4.0
6,22,4.0
6,40,5.0
6,53,3.0
6,58,3.0
6,60,4.0
6,69,3.0
6,75,3.0
6,98,3.0
6,106,5.0
6,113,4.0
6,119,3.0
6,163,3.0
6,177,4.0
6,220,4.0
6,257,3.0
6,280,4.0
6,307,5.0
6,323,4.0
6,331,4.0
6,339,3.0
6,357,3.0
6,376,3.0
6,385,3.0
6,389,3.0
6,410,3.0
6,423,3.0
6,426,3.0
6,431,3.0
7,4,4.0
7,8,3.0
7,10,2.0
7,24,3.0
7,27,3.0
7,28,3.0
7,34,3.0
7,36,2.0
7,37,3.0
7,45,3.0
7,46,2.0
7,47,2.0
7,48,3.0
7,51,4.0
7,70,4.0
7,72,3.0
7,74,3.0
7,76,2.0
7,82,3.0
7,83,4.0
7,132,2.0
7,134,2.0
7,142,3.0
7,150,3.0
7,158,4.0
7,160,2.0
7,161,3.0
7,165,5.0
7,167,3.0
7,170,3.0
7,171,4.0
7,178,4.0
7,179,3.0
7,188,3.0
7,199,2.0
7,206,4.0
7,209,4.0
7,217,3.0
7,221,3.0
7,234,4.0
7,243,4.0
7,245,2.0
7,247,3.0
7,252,3.0
7,260,4.0
7,268,3.0
7,277,3.0
7,278,3.0
7,281,3.0
7,290,4.0
7,292,3.0
7,302,4.0
7,304,4.0
7,313,5.0
7,316,4.0
7,317,4.0
7,333,3.0
7,340,4.0
7,347,4.0
7,352,5.0
7,354,3.0
7,360,3.0
7,365,2.0
7,372,3.0
7,375,3.0
7,386,3.0
7,394,3.0
7,398,5.0
7,402,3.0
7,404,4.0
7,408,2.0
7,413,4.0
7,416,3.0
7,421,4.0
7,428,2.0
7,430,5.0
7,433,3.0
7,434,4.0
7,443,5.0
7,445,4.0
7,447,3.0
7,452,4.0
7,458,4.0
8,2,4.0
8,11,3.0
8,23,2.0
8,35,4.0
8,85,3.0
8,87,5.0
8,96,1.0
8,97,4.0
8,102,3.0
8,104,3.0
8,117,3.0
8,121,3.0
8,128,5.0
8,129,2.0
8,130,2.0
8,146,2.0
8,149,2.0
8,151,3.0
8,183,2.0
8,215,4.0
8,219,4.0
8,222,2.0
8,224,3.0
8,250,3.0
8,266,3.0
8,267,3.0
8,269,4.0
8,273,3.0
8,284,4.0
8,291,3.0
8,300,3.0
8,314,3.0
8,319,3.0
8,324,3.0
8,327,4.0
8,346,4.0
8,350,4.0
8,359,3.0
8,362,3.0
8,364,5.0
8,370,2.0
8,401,4.0
8,419,3.0
8,422,4.0
8,436,3.0
8,446,4.0
8,448,3.0
8,457,4.0
9,2,4.0
9,21,3.0
9,23,1.0
9,35,4.0
9,62,4.0
9,73,3.0
9,84,1.0
9,85,3.0
9,87,4.0
9,94,4.0
9,104,4.0
9,108,4.0
9,128,5.0
9,129,2.0
9,130,5.0
9,141,4.0
9,144,4.0
9,148,4.0
9,149,3.0
9,185,4.0
9,194,3.0
9,222,4.0
9,237,4.0
9,242,3.0
9,250,4.0
9,264,5.0
9,270,4.0
9,282,4.0
9,301,5.0
9,309,3.0
9,315,3.0
9,324,3.0
9,325,4.0
9,336,4.0
9,346,3.0
9,348,4.0
9,350,3.0
9,362,4.0
9,363,2.0
9,366,4.0
9,373,4.0
9,382,4.0
9,384,4.0
9,391,4.0
9,399,5.0
9,401,4.0
9,409,3.0
9,419,3.0
9,422,4.0
10,1,4.0
10,9,4.0
10,13,5.0
10,22,4.0
10,39,3.0
10,41,5.0
10,58,4.0
10,59,3.0
10,60,4.0
10,66,2.0
10,69,4.0
10,75,4.0
10,89,2.0
10,91,4.0
10,98,3.0
10,106,4.0
10,119,3.0
10,137,4.0
10,155,5.0
10,181,4.0
10,186,3.0
10,190,5.0
10,193,3.0
10,200,3.0
10,208,2.0
10,223,3.0
10,251,4.0
10,285,4.0
10,289,3.0
10,310,3.0
10,323,4.0
10,351,4.0
10,357,2.0
10,361,3.0
10,376,4.0
10,385,5.0
10,407,3.0
10,423,3.0
10,431,3.0
10,451,2.0
11,2,3.0
11,11,4.0
11,21,3.0
11,23,3.0
11,62,4.0
11,67,3.0
11,85,2.0
11,87,2.0
11,108,3.0
11,111,2.0
11,122,3.0
11,126,3.0
11,128,4.0
11,130,4.0
11,133,2.0
11,141,2.0
11,144,3.0
11,149,3.0
11,152,5.0
11,174,3.0
11,202,4.0
11,204,3.0
11,242,4.0
11,248,3.0
11,253,4.0
11,259,4.0
11,262,3.0
11,263,3.0
11,264,4.0
11,267,2.0
11,270,3.0
11,282,4.0
11,284,3.0
11,300,3.0
11,315,3.0
11,327,4.0
11,337,4.0
11,342,4.0
11,348,4.0
11,350,4.0
11,359,3.0
11,363,4.0
11,364,3.0
11,369,4.0
11,370,4.0
11,391,3.0
11,399,3.0
11,415,4.0
11,419,2.0
11,425,3.0
11,441,3.0
11,442,3.0
11,446,2.0
11,449,4.0
12,10,3.0
12,14,3.0
12,18,5.0
12,25,3.0
12,27,5.0
12,42,3.0
12,44,4.0
12,52,4.0
12,57,4.0
12,68,4.0
12,77,3.0
12,79,3.0
12,82,4.0
12,88,4.0
12,100,3.0
12,103,4.0
12,109,3.0
12,127,2.0
12,132,3.0
12,142,2.0
12,147,4.0
12,150,3.0
12,153,3.0
12,158,4.0
12,159,3.0
12,160,4.0
12,167,4.0
12,169,5.0
12,176,3.0
12,179,2.0
12,187,2.0
12,191,2.0
12,198,2.0
12,199,5.0
12,206,3.0
12,207,3.0
12,209,3.0
12,216,3.0
12,234,3.0
12,245,3.0
12,268,3.0
12,271,4.0
12,278,4.0
12,287,2.0
12,296,4.0
12,298,5.0
12,308,2.0
12,316,2.0
12,330,2.0
12,333,3.0
12,334,3.0
12,335,5.0
12,345,3.0
12,347,3.0
12,354,3.0
12,360,5.0
12,368,2.0
12,372,3.0
12,378,3.0
12,397,5.0
12,413,3.0
12,430,4.0
12,434,4.0
12,440,4.0
12,443,2.0
12,445,3.0
12,454,3.0
12,458,2.0
13,0,4.0
13,15,5.0
13,17,5.0
13,40,5.0
13,41,3.0
13,58,3.0
13,63,4.0
13,66,4.0
